Sl. No,Trawler Name,Fishing Days,Tiger HL Shrimp,White HL Shrimp,Brown HL Shrimp,Others,Total Shrimp,Croaker(Poa),Cat Fish,Pony Fish,Red Fish(Rupban),Cuttle fish,Others,Total (Kg)
1,FV Nazat,166,5462.987952,1455,43049,5342,56858,56858,3823,0,15690,3909,29696,80312
2,FV Deep Sea -3,196,8653.21494,1470.96,55826.72,22694.2,93468.86,93468.86,3227,225,23726,5810,44154,112141
3,FV Mahiswar-1,81,2584.626506,0,8202,1543,13720,13720,2102,505,6073,2655,9141,29379
4,FV Meenher-2,49,4072.481928,1036,16357,2262,26051,26051,200,0,12925,1335,23555,50995
5,FV Imam-1,81,6662.012048,1726,10935,1963,25578,25578,842,31,4817,1313,13591,24923
6,FV Mahiswar-2,85,2149.771084,0,10965,3732,17898,17898,986,382,1150,793,3923,10630
7,FV Deep Sea-4,204,7963.337349,1737,54025,19577,87747,87747,5032,511,24463,6520,52203,121360
9,FV Katla,101,2341.26506,0,13415.6,893,18195.1,18195.1,2081,1575,3280,2854,3238,22249
10,FV Fisher-1,209,6402.120482,2500,50671,29954,93144,93144,25647,96,55461,8747,80867,230684
11,FV Moitry -T,125,7179.843373,2444,63123,215.8,76467.8,76467.8,2696,0,4294,0,4752,18009
12,FV Seyam,206,6046.024096,1391,42420,6195,57442,57442,6059,63,16118,3836,40999,100686
13,FV Meghna-9(AHM-2),9,310.253012,10,3365,431,4290,4290,1315,5,1285,882,1085,7913
14,FV Datina,136,626.5127711,0,8934.88,1847.88,11820.6,11820.6,1239,0,6089,1698,8347,28891
15,FV Rupchanda,39,1123.493976,0,5435.5,696.96,7997.46,7997.46,2096,18,2367,715,4585,13803
18,FV Hasikin-10,175,5365.53012,1710,38806.6,3484,51631.6,51631.6,2389,91,14114,2396,26817,72845
19,FV Mita,40,445.7831325,8,2832,1050,4564,4564,1706,0,1959,2048,8387,18451
20,FV Imam-2,16,104.8192771,0,1712,0,1886,1886,224,0,517,220,775,2597
21,FV SRL-6,190,5312.843373,1352,26082,7266,43287,43287,5992,187,24212,9605,62532,168691
22,FV Moin,81,2480.108434,0,13393,1202,18578,18578,999,154,953,390,4632,11966
23,FV Fisher-4 (D.Sea-1),191,3874.216867,1351,31401,11762,50569,50569,6738,148,27155,7880,55271,129292
25,FV Nabi,84,3178.86747,176,15482,1802,22333,22333,2315,1273,3896,2136,7987,25178
26,FV Motry-S,151,8170.783133,2830,66658,5530,87146,87146,1859,0,3453,2065,5777,20939
27,FV SRL-3,190,5764.156627,2066,39927,16964,67948,67948,14562,161,42420,8675,78059,210015
28,FV Fisher-3,210,7713.783133,1874,43065,17859,74502,74502,9921,56,61345,8846,80506,236763.5
29,FV Joutha Uddam,27,107.8192771,0,1242,298,1651,1651,562,10,305,221,2694,5460
30,FV Joutha Jatra,85,773.4939759,29.9,5482,5183,11978.9,11978.9,3620,41,5510,5396,14966,42257
31,FV Sahjalal-1,31,531.6626506,7,6954,658,8161,8161,1181,0,4595,810,5204,18874
32,FV Fisher-2,211,7732.501205,1125.2,48523.4,11672,73293.8,73293.8,11420.7,168,54768.3,6308.7,94283,236273.7
33,FV R.S.R-1,104,4754.807229,333,22632,2563,32660,32660,2249,47,6021,840,10192,26193