SL No,Trawler Name,Fishing Days,Sardine,Croaker,Ribbon,Grunter,Scads,Mackrel,Sole/Flat,Cat fish,Red Snapper,Big Eye,Hilsha,Pomfret,Red fish / Rupban,Eel,Shark/Rays,Cuttle/Squid,Kawa Tuna,Bullet Tuna,Others Tuna,BombayDuck,Marine mammal,Others,Total,Shrimp Catch(Kg)
1,FV Sattelite-1,170,2120,17245,6898,0,5847,16076,846,3900,2326,5597,0,2717,39913,2524,3684,15829,1751,185,3197,3392,0,144137,278184,4906
2,FV  Salam-2,147,2875,20017,6713,0,1396,18613,0,4926,268,5669,0,2496,40941,1494,0,8859,0,0,0,1601,0,91739,207607,3056
3,FV Fish Hunter,150,1097,21977,10315,0,6396,7785,2440,12700,1810,18409,0,1485,45215,2536,103,7066,0,0,0,773,0,7641,147748,3153
4,FV Sea Bird,116,3987,10019,9588,0,3623,5017,915,5735,63,3144,0,2153,20564,6809,567,2200,1353,679,1241,1100,0,61877,140634,999
5, FV Star-1,123,1662,15653,5576,0,4049,10542,616,8751,2165,8988,0,4673,20876,2713,8334,7204,0,2765,1574,3401,0,96420,205962,5117
6,FV Marine Harvester 2,125,2218,18684,3838,0,8368,7680,8218,12314,493,2943,247,3012,21758,3270,3816,12551,246,801,0,515,0,70036,181008,1723
7,FV Power Sourse-1,157,7426,26457,11728,0,2671,8278,312,16944,374,9973,0,1457,42379,1913,0,6428,0,1851,0,832,0,74321,213344,1084
8,FV Sahpuri-1,150,0,48160,46461,0,0,7717,0,11215,0,7747,100,472,10429,157,0,5198,63,0,0,3307,0,72103,213129,2604
9,FV Unico-15,140,4835,11499,7585,0,4491,21044,1051,8230,742,4876,404,5316,47997,1764,1880,10793,1654,775,987,3320,0,106406,245649,4280
10,FV Bismillah,122,1471,17057,8743,0,4651,11464,62,8759,462,5785,0,3843,31528,5533,155,7777,402,0,0,2802,0,79530,190024,3305
11,FV Ma Amena 1,138,365,30133,19316,0,3146,12129,8039,19400,0,20756,0,401,24653,3408,31,4780,0,0,0,3020,0,70305,219882,1653
12,FV Safa 1,159,4338,25191,8572,0,1016,3985,1806,9370,826,8756,483,3625,22301,1263,1596,2827,0,0,0,5356,0,64895,166206,1860
13,FV Sea Queen 1,84,2563,24016,7520,3022,2454,2580,4577,13498,5,11752,1167,1915,1482,3031,15,1290,540,0,0,9728,0,35926,127081,7416
14,FV Maya 1,143,710,31119,6653,0,2594,5527,1335,7323,122,9599,0,1119,16321,2168,2277,4222,123,247,464,1502,0,48747,142172,5737
15,FV R- Hasan-2,153,311,27413,13370,0,1549,4292,5577,12569,0,7259,289,8857,7153,2990,788,6150,0,307,0,5546,0,54351,158771,2935
16,FV R. Hasan-1,155,1434,19687,17645,114,3718,3280,2573,15883,1924,10756,1650,994,32562,1279,419,1705,147,702,16,5691,0,82094,204273,3915
17,FV AFIF 1,106,580,21001,10859,0,3608,7298,0,14604,1344,5041,0,2427,19337,3677,0,5706,0,0,0,2613,0,48460,146555,2314
18,FV Tas-01,154,880,17309,5723,0,4033,3346,1383,5532,1002,3955,667,1160,15343,1398,479,3776,0,1611,0,2289,0,84785,154671,3231
19,FV Jewel,123,793,27874,9249,0,991,9426,2637,12811,103,7306,0,961,29470,2596,1293,3544,0,5408,0,620,0,62050,177132,1004
20,FV Humaira-1 (Sunk),82,559,5384,3695,406,1280,1409,2376,2469,807,715,93,1125,4367,1149,1686,2051,216,414,840,1522,0,42200,74763,2040
21,FV Joyti,125,0,22734,2801,0,2646,979,3661,8698,0,103,0,837,16378,1656,1086,3512,0,361,0,1557,413,43159,110581,774
22,FV Shahidul-1,155,3561,20324,10545,0,4826,12930,1056,8203,208,7183,0,2037,36782,2505,0,7977,0,792,0,1365,0,60440,180734,2237
23,FV Sadya,151,874,19137,11401,0,5613,11329,0,12062,0,3025,1854,824,30413,618,360,7517,0,6282,309,1030,0,106051,218699,747
24,FV Sea Harvest,150,206,22728,6524,704,4953,8696,3261,10285,1828,4644,1426,7323,23658,5341,1274,4315,0,4662,0,2626,0,30432,144886,2146
25,FV  Gangchil,100,1013,9747,4351,0,3424,7382,103,7757,0,4576,125,2120,11889,2108,1412,5890,0,5287,0,365,0,93343,160892,152
26,FV Sagor-1,134,3489,20492,10390,0,5484,3914,4243,7265,0,3564,188,2045,22474,3601,264,5831,0,0,420,1417,1262,87912,184255,3133
27,FV S & A Bay of Beng-2,150,5841,12050,9137,0,6195,23437,52,16388,0,11627,2275,11310,60130,496,62,10931,2874,919,514,2286,0,90384,266908,3045
28,FV Shatkania-1,81,1717,4631,2734,0,937,1927,940,3604,53,2922,0,2372,10156,1331,78,1400,0,0,0,1714,0,38646,75162,1441
29,FV Maya ,123,0,8203,3968,0,0,5140,93,6651,0,1776,249,5360,7194,963,624,1339,0,0,437,2286,0,38777,83060,2520
30,FV Sunar Bangla ,142,1280,14264,9172,100,8041,308,0,14536,1896,0,0,103,24926,51,0,2381,0,0,103,4203,0,62823,144187,2074
31,FV Surma ,152,2000,10721,5461,0,3397,5322,649,6821,0,4449,0,990,19851,1452,124,2667,0,2039,0,896,0,61115,127954,2073